BVTV,DA,ROI Number,Scan,m1,m2,m3,Variation Coefficient,Group,OI Type,S11,S12,S13,S21,S22,S23,S31,S32,S33,S44,S55,S66
0.039,1.8519999999999999,1,C0002187_SEG_UNCOMP,0.74066,0.88799,1.37135,0.8372045629064626,Control,,1.96878699074393,0.8887184139380946,1.2583381217797793,0.8887184139380947,2.7390689666795147,2.665212810055999,1.258338121779779,2.665212810055999,34.5649528333336,3.198232691728847,2.3291299216403263,1.309783074637444
0.0307,1.661,2,C0002187_SEG_UNCOMP,0.8032,0.8627799999999999,1.33402,0.6846188618558006,Control,,2.7769255017604157,0.8275350792258765,1.362571596334479,0.8275350792258767,2.0222755283167895,0.7377867012013205,1.362571596334479,0.7377867012013205,19.444529944433246,1.5056560135163033,1.9968596018581448,1.2112233911199783
0.0488,2.008,3,C0002187_SEG_UNCOMP,0.66042,1.01324,1.32634,0.4665769348763392,Control,,10.814863041879825,3.4865366463865115,4.719642644423753,3.4865366463865115,27.40083844415755,10.529200930623455,4.719642644423753,10.529200930623455,82.1619536406557,20.26385945632559,5.047406896769302,5.109916004119507
0.0327,1.859,4,C0002187_SEG_UNCOMP,0.75107,0.8523799999999999,1.39656,0.9253912964443428,Control,,27.801335767397575,4.810078625347163,12.135493638752564,4.810078625347163,40.06254338826318,12.783910782383334,12.135493638752564,12.783910782383344,163.03542864064403,21.30264505418841,21.637397118115153,9.587590724441398
0.1149,2.1790000000000003,5,C0002187_SEG_UNCOMP,0.64923,0.9358200000000001,1.41495,0.4359909841750884,Control,,65.9567875300716,21.357001871800296,23.47162725880971,21.357001871800296,180.10594659414807,44.904876326723596,23.47162725880971,44.90487632672366,534.9674589950982,84.63941285573422,42.38304547028871,31.669259563403706
0.0527,1.635,6,C0002187_SEG_UNCOMP,0.81281,0.8583,1.32889,0.5971004145570226,Control,,18.55061634409599,8.076731964274945,6.5336355059277,8.076731964274945,32.87086147332393,7.939771426572117,6.533635505927699,7.939771426572117,71.55876162413081,14.384053937982024,10.975225377033832,11.695583751878821
0.1776,2.095,1,C0001546_SEG_UNCOMP,0.6554800000000001,0.9713200000000001,1.37321,0.2629510288445375,Control,,117.83451160142609,52.37500541396905,52.64164084842785,52.37500541396905,395.2188731189205,129.52890902837166,52.64164084842785,129.52890902837166,789.8053803750742,201.976598813465,79.99867214367428,65.01678515156388
0.1861,1.9380000000000002,2,C0001546_SEG_UNCOMP,0.68279,0.9939899999999999,1.32323,0.282564260360012,Control,,162.1696694430172,81.21742093326473,64.60524265792398,81.21742093326473,442.34427590565923,134.26177439535914,64.60524265792398,134.26177439535914,930.8463919941704,200.25106391840342,98.20708161557117,99.62457596175844
0.0921,1.75,3,C0001546_SEG_UNCOMP,0.76012,0.90996,1.32992,0.4035157002230737,Control,,77.01945305143578,16.598002419231516,23.319852143357114,16.598002419231516,106.63035764672276,28.689690450169675,23.319852143357114,28.68969045016966,253.37402711583866,48.84242834255663,36.2515836600291,24.855564823972575
0.0765,1.929,4,C0001546_SEG_UNCOMP,0.6874100000000001,0.98675,1.32584,0.6237009048377532,Control,,40.16935062634365,19.294976386424402,20.167767690759252,19.294976386424402,110.68389283371242,42.85199956270121,20.167767690759252,42.851999562701174,268.0182723743194,61.07069277857228,26.858866198810183,25.0909361354138
0.0616,1.706,5,C0001546_SEG_UNCOMP,0.76137,0.9394,1.2992299999999999,0.3585995123054245,Control,,31.59405304479855,9.918387561212459,7.581971172507591,9.918387561212459,36.792653297796804,5.9284353444271085,7.581971172507591,5.9284353444271085,119.3693797594244,14.133098501448071,12.018862192944223,13.483188767441733
0.0469,1.839,6,C0001546_SEG_UNCOMP,0.71959,0.95714,1.32326,0.7497576508806956,Control,,17.086430052934872,9.152396482972414,8.335301314754595,9.152396482972414,57.71520448709351,21.432523228469417,8.335301314754595,21.432523228469417,144.35619744278236,31.730870498593415,13.535746966704979,12.57859979196036
0.2779,1.966,1,C0001753_SEG_UNCOMP,0.67989,0.98375,1.33636,0.16916865415197546,Control,,418.1006496658549,186.5436321788605,182.16766887011832,186.5436321788605,941.8147828845232,320.83655560024675,182.16766887011832,320.83655560024704,1670.193000625312,443.24897636969433,227.08365582847318,184.07019714754009
0.2802,2.072,2,C0001753_SEG_UNCOMP,0.66728,0.94989,1.38283,0.16649960642803138,Control,,460.0060549496974,226.8390052366935,212.99824077106868,226.8390052366935,966.3496519500501,340.289224310272,212.99824077106868,340.289224310272,1996.8471681759597,482.4543987795723,268.8347876306521,218.80165855199817
0.292,2.0909999999999997,3,C0001753_SEG_UNCOMP,0.6470899999999999,0.99977,1.35315,0.10056278645698176,Control,,438.5183622465965,204.12906976662802,192.3558408685309,204.12906976662802,1105.042119334585,359.9282806799374,192.35584086853055,359.9282806799374,1812.7179935305853,506.76575967544443,235.72756044838266,196.36200555603327
0.3955,2.318,4,C0001753_SEG_UNCOMP,0.57594,1.08922,1.33484,0.15526034701652852,Control,,812.0332937175623,446.0852694768535,403.1427978084937,446.0852694768535,2390.589530484088,788.2238977585947,403.1427978084937,788.2238977585947,3242.025124069383,1023.9438875224268,461.1945594698276,426.58236348752246
0.2096,1.723,5,C0001753_SEG_UNCOMP,0.77761,0.8826200000000001,1.3397700000000001,0.10671232513453947,Control,,301.64225454800106,106.79915265177357,135.14512577119427,106.79915265177357,408.2121099350799,150.82674278314371,135.1451257711944,150.82674278314371,1023.9102075538806,208.89320693288192,176.91067905174705,115.97023518691242
0.3526,2.09,6,C0001753_SEG_UNCOMP,0.63155,1.04869,1.31976,0.17149134320170314,Control,,669.530573233484,359.7946994877582,324.27349900705633,359.7946994877582,1849.1605798090773,637.2055629929854,324.2734990070566,637.2055629929854,2592.5218147388546,821.9699678223269,396.43922988283623,378.07954095270406
0.2037,2.315,1,C0002198_SEG_UNCOMP,0.65458,0.83021,1.51522,0.12686041328557815,Control,,264.9656118302092,106.52601658103067,121.10495236942769,106.52601658103067,435.95062363262053,157.08781195883458,121.1049523694276,157.08781195883458,1342.405786571577,237.06891735721845,165.85410080937834,107.1642592649287
0.1008,1.8330000000000002,2,C0002198_SEG_UNCOMP,0.7237899999999999,0.9492,1.32701,0.1993557701446817,Control,,105.34479198589088,44.59084811451304,44.568101592777765,44.59084811451304,184.17555032385314,60.20868732827503,44.568101592777765,60.20868732827503,517.0394870251491,99.79643764613847,59.56144335083923,53.21383996216644
0.2092,2.096,3,C0002198_SEG_UNCOMP,0.6782100000000001,0.9001299999999999,1.4216600000000001,0.17235757280886144,Control,,324.7933141816515,155.46378848667317,133.08858121873166,155.46378848667317,639.0475688690683,214.25324689217305,133.08858121873166,214.25324689217305,1390.7446405887492,301.6047990079109,166.1656855519181,148.20418402378266
0.1384,2.15,4,C0002198_SEG_UNCOMP,0.60815,1.08425,1.3076,0.2232193435887952,Control,,106.67816439882438,57.63829356287779,62.27967706027703,57.63829356287779,370.9117148132048,118.50573135168989,62.27967706027703,118.50573135168989,642.7135470727059,185.06774744214295,74.71933348001035,62.36595379134102
0.157,1.9569999999999999,5,C0002198_SEG_UNCOMP,0.70049,0.9284100000000001,1.3711,0.27473499879485663,Control,,226.9797335959083,90.13460967701725,79.66047673465498,90.13460967701725,416.33313750992545,132.99666509065526,79.66047673465498,132.99666509065526,961.5946225298692,196.35105929293712,108.7552933660412,99.69383909737336
0.175,2.3,6,C0002198_SEG_UNCOMP,0.6329,0.9117200000000001,1.45538,0.21331601412416026,Control,,186.39393518368564,79.2532072312755,82.51680511755308,79.2532072312755,452.5803003973324,155.05045020122387,82.51680511755308,155.05045020122387,1050.0235279408384,241.010733409967,114.26674178282474,79.416141127603
0.0954,1.85,1,C0001792_SEG_UNCOMP,0.72622,0.93,1.34378,0.28299447360135177,Control,,59.235910454163026,22.310293167847842,27.01354120442393,22.310293167847842,103.10034453825351,42.048836287024095,27.01354120442393,42.048836287024095,296.6939222676856,61.15935651283219,38.347356497115,28.140876257417435
0.1344,2.0269999999999997,2,C0001792_SEG_UNCOMP,0.68124,0.9381,1.38066,0.3045186875723809,Control,,101.23631722427784,50.97864421672336,48.57082008236005,50.97864421672336,227.82188788078045,77.18143319624053,48.57082008236005,77.18143319624053,626.3562225713295,129.17399370170344,72.35829586898396,60.76921973884288
0.1699,2.283,3,C0001792_SEG_UNCOMP,0.60887,1.0010700000000001,1.3900700000000001,0.2723649505870729,Control,,131.0769227945193,70.72783066562849,69.0232330640452,70.72783066562849,394.639688366422,130.74818895234156,69.0232330640452,130.74818895234156,875.8969919678518,207.34868076485554,91.06294250227518,77.03354133078504
0.1338,1.993,4,C0001792_SEG_UNCOMP,0.7229399999999999,0.8359,1.44116,0.20461657548044598,Control,,95.79490965172441,35.03663495312567,47.73729814643308,35.036634953125684,165.88168541740407,61.10206132187826,47.73729814643308,61.10206132187826,658.4202287766414,99.05119726530927,72.89945187785136,42.75927908548204
0.1177,1.994,5,C0001792_SEG_UNCOMP,0.6552,1.0386,1.3062,0.3211024533132573,Control,,74.99171776952305,31.622735869655987,36.45583550257492,31.622735869655987,134.83484984196824,53.18991865630402,36.45583550257491,53.18991865630402,399.6206404808563,83.65959700643599,44.213489880824405,37.01454985221831
