BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3,Variation Coefficient
0.1131,1.6769999999999998,150.14766014417782,157.31319694672666,392.9118091261368,59.20043799724846,105.66320522649364,76.72638636035431,0.2313628213817835,0.10452699278469144,0.1376756293707637,5,C0001415_SEG_UNCOMP,0.77115,0.93555,1.2933,0.5253558424215165
0.1708,1.661,275.88236075689343,359.6857515189414,749.9189180260165,125.78290926678172,208.73169137992255,174.10764758643614,0.2164352929317511,0.12048689596348144,0.13122339412261505,6,C0001415_SEG_UNCOMP,0.7822399999999999,0.91838,1.29938,0.3899838896009714
0.1624,1.932,142.45541350649953,434.2935465910208,722.4672645144889,79.6385605904738,193.33722144460359,85.3336793909682,0.13747162992042758,0.05616208488365918,0.1341646951273568,1,C0001421_SEG_UNCOMP,0.6792199999999999,1.00852,1.31227,0.2974052527623887
0.2442,1.942,357.44670348695547,720.2881564128529,1412.0289436434812,206.63392007599973,347.959455196048,230.79913006033092,0.21350038167817267,0.07816550504743072,0.11338506156048556,2,C0001421_SEG_UNCOMP,0.69914,0.94324,1.35762,0.13224664985857773
0.3336,2.359,507.2700270664938,1387.9873783763396,2471.745704348738,281.6117676907233,748.9175764614606,348.0315408225818,0.15465404867928886,0.06600097886945942,0.15491574298486718,3,C0001421_SEG_UNCOMP,0.60378,0.97214,1.4240700000000002,0.09562707285033274
0.302,2.181,421.75743456958685,994.9400534886388,1955.9224149829013,233.1028873485212,566.2393799873878,269.08753360609853,0.17225667587545382,0.06733110690507665,0.14113573406922447,4,C0001421_SEG_UNCOMP,0.6328699999999999,0.98714,1.37999,0.13793321658415394
0.1864,2.09,171.26152181927822,353.31549351069657,929.0435555784964,91.07275680167648,222.32385589982502,129.1333514200413,0.1818034590336143,0.06357768062238636,0.10899354691100006,5,C0001421_SEG_UNCOMP,0.66328,0.95073,1.38599,0.26462657300663817
0.3309,2.1919999999999997,559.0003159795423,1256.5421963871966,2304.3065946716097,300.4528468437635,605.7483657817431,331.2123349535242,0.17753920027375247,0.07314431305875818,0.13815732631166047,6,C0001421_SEG_UNCOMP,0.64083,0.9543799999999999,1.40479,0.1833497438365701
0.2276,1.9680000000000002,291.84662094448885,622.3459987473766,1194.0901651136016,144.5405876313463,293.2952191418304,150.2399770381561,0.17987465875301908,0.06368638323361182,0.13131341568139493,1,C0001427_SEG_UNCOMP,0.68293,0.9728899999999999,1.34417,0.09844063774561064
0.2732,1.93,389.739104927253,896.6827300984289,1528.6868815740113,221.76313151532443,448.4082324343313,261.08685992709525,0.19595449062502254,0.08887426833171058,0.14410537857806038,2,C0001427_SEG_UNCOMP,0.69177,0.9729200000000001,1.3353,0.09350892197247729
0.3035,2.128,439.1599731513871,1166.0018678066276,1902.504553529104,274.77765061948554,614.3784949880155,271.15827393579747,0.1756427116705416,0.06831418677063476,0.16861641621089035,3,C0001427_SEG_UNCOMP,0.6187600000000001,1.06453,1.31671,0.07564679556966229
0.3036,1.74,708.4576210910283,999.5177012571786,1872.9141334629232,268.2819432520669,390.32029826086585,303.5472392438633,0.21324535826171015,0.09033021074465987,0.11610544738474672,4,C0001427_SEG_UNCOMP,0.77085,0.8881399999999999,1.341,0.17197198777080422
0.3196,1.892,559.1577266311485,1535.1125208947005,1944.413722077742,336.41254049284754,737.2562207611207,361.2392480541363,0.15475295729697874,0.10434793798451232,0.2035162000093432,5,C0001427_SEG_UNCOMP,0.66091,1.08847,1.25062,0.15367736279918312
0.2528,1.895,359.89027440538683,753.5007806782259,1345.110897511313,183.00171508258956,373.40001698707636,193.99240197630203,0.1945371921455198,0.0710933496556705,0.1465869433819058,6,C0001427_SEG_UNCOMP,0.6979,0.9799,1.3222,0.12291775864752646
