BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3,Variation Coefficient,Group
0.3373,2.266,551.1776315429231,1453.3512065202044,2320.5330597963,317.2557295186147,714.2862739519879,349.9669177381148,0.16587090869673135,0.0757134967667646,0.16076394466378613,5,C0001904_SEG_UNCOMP,0.61228,1.00047,1.38725,0.14281567730019104,Control
0.3211,2.105,542.6853287858567,1276.0916906116956,2093.6416144039467,302.3104095072523,646.9767519300268,322.69762540504485,0.17377969143951322,0.07445362667237647,0.16622420677825436,6,C0001904_SEG_UNCOMP,0.63563,1.02647,1.33791,0.16102065598408905,Control
0.1111,2.154,69.17940265054558,135.49723029134648,524.4550134437112,46.67508198342498,84.45054785220098,46.69614949452029,0.2408666102134086,0.029904967563292844,0.06588898528967853,1,C0001624_SEG_UNCOMP,0.66203,0.9116700000000001,1.4263,0.18137718859327184,Control
0.1771,2.081,155.480689148957,269.4448347146161,899.8665527682965,68.8543094096472,155.2624740740857,108.22165975013674,0.19700847585913395,0.05817916812558222,0.07744486670837122,2,C0001624_SEG_UNCOMP,0.69704,0.85275,1.45021,0.16025208575534605,Control
0.1907,1.8869999999999998,207.6212552048996,446.0466395416777,1001.0642856954034,102.10571650814005,197.15281730971802,131.80447889939828,0.16170839215638358,0.06808292580894135,0.09510019711854564,3,C0001624_SEG_UNCOMP,0.72226,0.9146700000000001,1.36307,0.2720289365723155,Control
0.1619,1.964,162.41132451060196,436.855698507768,819.2516958115527,97.17523630844464,168.7065947144674,88.0247863999828,0.16985463916477414,0.061998701657626186,0.09651618657148003,4,C0001624_SEG_UNCOMP,0.69486,0.94025,1.36489,0.1990721806651458,Control
0.1537,2.04,149.91707692379498,224.56615664917908,844.0749577874333,81.54763838104465,133.05600510820096,89.60890217069857,0.2826137113824153,0.044565048621143404,0.06947428390550281,5,C0001624_SEG_UNCOMP,0.69806,0.8780600000000001,1.4238899999999999,0.3101016101040027,Control
0.1882,1.94,210.6305148224427,481.471859434416,1058.0491093173696,99.83950905110682,204.3616158632921,128.74283117356816,0.14763735327741845,0.06411748060415591,0.09387534379402764,6,C0001624_SEG_UNCOMP,0.70663,0.9221600000000001,1.37121,0.2668454564708166,Control
0.2404,1.768,384.618157096122,565.2228626820363,1364.8516349338781,172.3662865382002,318.05910634199813,211.95137017364559,0.2439952229903177,0.0675285479336278,0.1138120588130926,1,C0002087_SEG_UNCOMP,0.76125,0.89291,1.34584,0.1384263911675153,Control
0.3959,1.93,803.8847666707715,1759.2450339354339,2626.2903284630074,453.1392042916373,837.9818937800927,470.7797037531501,0.18146111607776488,0.09218859849482204,0.1718628385120925,2,C0002087_SEG_UNCOMP,0.66835,1.04203,1.2896100000000001,0.09409345537277704,Control
0.2257,1.6059999999999999,377.7924926473168,551.7712237730572,1108.6145024343955,152.20432824044926,226.0918853304566,164.2439166596135,0.1927359542647804,0.07605160896674414,0.10629215927182548,3,C0002087_SEG_UNCOMP,0.78594,0.9515100000000001,1.26255,0.163369200985635,Control
0.2338,1.746,381.3359543717981,627.1784589671986,1303.5146100055408,154.4269918915461,301.5873778685485,191.63127293355183,0.1938585404073341,0.0738356099194404,0.1189808682490528,4,C0002087_SEG_UNCOMP,0.7569899999999999,0.92125,1.32176,0.14296544072513725,Control
0.3141,1.9080000000000001,594.177349241471,1058.5036937171244,2077.7823907194347,324.39514796228895,544.8035302277581,378.346564901806,0.24946825079856416,0.08695403066436365,0.12504420151425358,5,C0002087_SEG_UNCOMP,0.7138800000000001,0.92405,1.3620700000000001,0.1225424900649782,Control
0.3012,1.963,535.5971290566201,1123.2108651214587,1909.624882353367,229.98959328129737,563.1862524121602,322.6433127913617,0.16443320201713346,0.09065275292585094,0.14895277930190692,6,C0002087_SEG_UNCOMP,0.68265,0.9771200000000001,1.34023,0.16309905959041018,Control
0.1717,1.974,90.80430998443958,184.31726843492348,525.4167391499253,46.14132857258171,118.42784546179807,62.1599840343541,0.14002867540912806,0.051055230293321235,0.10234795829263092,1,C0001566_SEG_UNCOMP,0.69415,0.9352600000000001,1.37059,0.1332988144086913,Control
0.1549,1.9780000000000002,116.73408449034024,252.5053451950033,687.8915503450978,60.93644687679274,120.55854612897451,84.90751769291016,0.16369637912901389,0.056759170287623416,0.07791496005764759,2,C0001566_SEG_UNCOMP,0.71897,0.85875,1.42228,0.20532669193989914,Control
0.0651,1.7109999999999999,8.811909591850158,10.569394849920798,47.60402917806403,3.2498725339850774,5.785044623900673,5.647219486896121,0.18289164277660147,0.05493208410515362,0.04588400923465792,3,C0001566_SEG_UNCOMP,0.77725,0.89294,1.32981,0.3094424748102515,Control
0.2544,2.452,307.47270181959857,815.147687125546,1706.3930883006988,161.3111856042976,460.67885739214967,223.3658581662101,0.14512843561296096,0.059323216788095726,0.12418219852059273,4,C0001566_SEG_UNCOMP,0.6005199999999999,0.9268299999999999,1.47265,0.12394887943354413,Control
0.2036,2.068,128.48935499693158,396.7277462251107,823.9938864815474,84.71062708302881,233.61523820797703,105.58398138720408,0.13070659211981195,0.06364938748342262,0.1306059436906354,5,C0001566_SEG_UNCOMP,0.64184,1.03071,1.32745,0.1308513236303952,Control
0.0868,2.0580000000000003,36.07015200849552,95.72013559730507,226.3133565090588,18.13908671629016,49.645540045652744,26.43224181398439,0.11141575163141153,0.049246085226840514,0.092263641909654,6,C0001566_SEG_UNCOMP,0.67048,0.94991,1.37961,0.6237074182950587,Control
0.1372,1.855,171.86996960811896,191.49885731209832,651.0786354093274,77.96419797522692,112.208353019804,82.20261935876442,0.3155618171279829,0.053629728061930136,0.07751140327584458,1,C0002104_SEG_UNCOMP,0.73128,0.9124399999999999,1.35628,0.19831567916752127,Control
