BV/TV,Degree of Anisotropy,ROI Number,Scan,Variation Coefficient
0.1323,2.163,3,350902_C0000057_SEG_UNCOMP,0.26966487637839043
0.1993,2.381,4,350902_C0000057_SEG_UNCOMP,0.30321728133482845
0.0519,1.935,5,350902_C0000057_SEG_UNCOMP,0.7523689013211275
0.2025,1.917,6,350902_C0000057_SEG_UNCOMP,0.2684276789161732
0.0821,2.193,1,350903_C0000061_SEG_UNCOMP,0.5536542210285648
0.0192,2.253,2,350903_C0000061_SEG_UNCOMP,1.5596211635120771
0.084,2.287,3,350903_C0000061_SEG_UNCOMP,0.14828450421547335
0.0266,2.424,4,350903_C0000061_SEG_UNCOMP,0.7899447834640021
0.0721,2.577,5,350903_C0000061_SEG_UNCOMP,0.7219699245736034
0.116,2.185,6,350903_C0000061_SEG_UNCOMP,0.39786476896541423
0.239,2.332,1,350908_C0000201_SEG_UNCOMP,0.08245601598088878
0.2898,1.994,2,350908_C0000201_SEG_UNCOMP,0.14844211162736604
0.2536,2.186,3,350908_C0000201_SEG_UNCOMP,0.13239195373377657
0.2605,2.202,4,350908_C0000201_SEG_UNCOMP,0.18365188736861862
0.1383,1.934,5,350908_C0000201_SEG_UNCOMP,0.16184406288997732
0.2454,2.287,6,350908_C0000201_SEG_UNCOMP,0.20580599376620534
0.0715,1.607,1,350910_C0000231_SEG_UNCOMP,0.6388360696195847
0.1441,1.972,2,350910_C0000231_SEG_UNCOMP,0.6128137087504791
0.1667,2.049,3,350910_C0000231_SEG_UNCOMP,0.4715410099692295
0.1668,2.019,4,350910_C0000231_SEG_UNCOMP,0.45679505806141857
0.0486,2.004,5,350910_C0000231_SEG_UNCOMP,0.8542622921790992
0.1344,2.005,6,350910_C0000231_SEG_UNCOMP,0.5045910805411518
0.1496,2.11,1,350912_C0000226_SEG_UNCOMP,0.34163783953692783
0.0904,2.555,2,350912_C0000226_SEG_UNCOMP,0.35215546007146126
0.0772,2.215,3,350912_C0000226_SEG_UNCOMP,0.367855828394098
0.0803,2.696,4,350912_C0000226_SEG_UNCOMP,0.53721968551735
0.0451,1.324,5,350912_C0000226_SEG_UNCOMP,0.6251525051388722
0.0509,1.217,6,350912_C0000226_SEG_UNCOMP,0.7626185345944693
0.0381,1.646,1,350913_C0000239_SEG_UNCOMP,0.7604693816150039
0.0288,1.765,2,350913_C0000239_SEG_UNCOMP,0.756646403272806
0.0253,1.545,3,350913_C0000239_SEG_UNCOMP,0.6761444537369333
0.089,2.378,4,350913_C0000239_SEG_UNCOMP,0.5969545348996859
0.1198,2.31,5,350913_C0000239_SEG_UNCOMP,0.3009967212740969
0.135,1.999,6,350913_C0000239_SEG_UNCOMP,0.25033012167170127
0.1195,1.939,1,350914_C0000261_SEG_UNCOMP,0.5165699675068413
0.107,2.01,2,350914_C0000261_SEG_UNCOMP,0.3021165789035834
0.0867,1.862,3,350914_C0000261_SEG_UNCOMP,0.5111869921835054
0.1128,2.267,4,350914_C0000261_SEG_UNCOMP,0.27518999628068225
0.1927,2.666,5,350914_C0000261_SEG_UNCOMP,0.3189008724261395
0.1331,1.961,6,350914_C0000261_SEG_UNCOMP,0.2962398479073692
0.1665,2.135,1,350915_C0000250_SEG_UNCOMP,0.4068870133325152
0.0967,1.657,2,350915_C0000250_SEG_UNCOMP,0.32661778347704556
0.0963,1.742,3,350915_C0000250_SEG_UNCOMP,0.29190573510834716
0.1146,2.195,4,350915_C0000250_SEG_UNCOMP,0.21893041518225112
0.0833,1.682,5,350915_C0000250_SEG_UNCOMP,0.5484691737589883
0.1116,2.207,6,350915_C0000250_SEG_UNCOMP,0.3600200960426782
