BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3,Variation Coefficient
0.2435,2.228,403.39073341085486,861.2916231039023,1741.374597117737,202.05374962669117,517.7735787117988,267.9397454606444,0.20274678609401672,0.07081564428963448,0.1396985404073373,5,C0001862_SEG_UNCOMP,0.64131,0.92975,1.42894,0.1040029821784833
0.1739,1.74,244.18006318392503,305.7061918738812,919.8233125370517,124.95589485441387,204.6596967202473,161.28683277009608,0.323558729187985,0.08197948543317664,0.09891464269119858,6,C0001862_SEG_UNCOMP,0.77468,0.87754,1.34777,0.12529798482623158
0.0777,1.606,31.902371615933713,45.486535070313046,132.89737321627803,16.57938595347623,24.169802349989535,20.500433664177667,0.209295218236918,0.07683849571026763,0.07215485607914117,1,C0001911_SEG_UNCOMP,0.79961,0.91593,1.28446,0.46151147646463103
0.0934,1.791,56.25282710871597,92.32936798536932,170.0726053948254,30.03640699409303,51.488719843166024,31.046949589923624,0.1593909641798197,0.06305806349432955,0.14083218449196275,2,C0001911_SEG_UNCOMP,0.71246,1.01127,1.27627,0.5841994963779443
0.093,1.793,47.86622942525448,107.88493613488536,201.79278377365463,28.891926053722162,60.58117970095995,31.318338496877214,0.14437518099723115,0.053046191685780536,0.1549676361064645,3,C0001911_SEG_UNCOMP,0.7176100000000001,0.99544,1.28695,0.7416569860721284
0.2381,2.002,253.52386715070148,401.35918852994405,1206.9069393864593,138.66795352832324,273.41569272850893,166.45836407233188,0.22084120514064406,0.05576477776607749,0.09948088141565088,4,C0001911_SEG_UNCOMP,0.68029,0.9576,1.36211,0.22436538351637933
0.3489,1.819,676.0004838945373,1107.1377397309068,2126.33848707332,316.53321704574614,575.6672295481368,388.27410896784966,0.19179592664485332,0.09301968912733576,0.14010118040777692,5,C0001911_SEG_UNCOMP,0.7309399999999999,0.93955,1.32951,0.15208111968950702
0.2945,1.819,463.23388504291154,880.8150683167491,1628.0211988711649,239.05662468940915,444.2889674090928,276.5456885775476,0.18857700694883064,0.08296890555179885,0.1424189011906715,6,C0001911_SEG_UNCOMP,0.72756,0.94877,1.32367,0.19387571014572194
0.2666,2.35,307.6999658865472,908.5962244483162,1752.1458671257678,206.887065024033,516.3367053184753,217.4294250893505,0.18093481837270925,0.05531525018748962,0.1385304619426675,1,C0002184_SEG_UNCOMP,0.59087,1.02072,1.38841,0.2340588951518767
0.1643,1.936,179.57151092867215,340.32208155962286,755.1132605901421,99.7165729322568,167.5135818901422,92.46100829489231,0.233102810288526,0.05231915893874967,0.11846627528652502,2,C0002184_SEG_UNCOMP,0.70253,0.93759,1.35988,0.2360247741723185
0.2164,2.195,213.79822913594174,608.1096602649127,1204.7332185013925,146.30512388331272,355.4410442366805,158.02555727010323,0.1931156701366698,0.06079121411613681,0.1307336725174353,3,C0002184_SEG_UNCOMP,0.62889,0.99092,1.38019,0.17387357288271973
0.2126,2.195,226.7696608656747,625.1404043235908,1188.0962498340919,141.38779885804303,367.07811998081365,158.80855351544602,0.1685027159734906,0.0689418943818369,0.1426045522564052,4,C0002184_SEG_UNCOMP,0.6266,0.99792,1.37548,0.160969843160776
0.217,2.278,257.53955440166845,668.042119815028,1308.9880607153068,148.53342835075782,347.9731334584484,156.76258332066132,0.1754974382994786,0.055343699466953285,0.12797071475376046,5,C0002184_SEG_UNCOMP,0.62045,0.96598,1.41357,0.282296332688654
0.1811,2.389,157.40055430196708,420.9699456053903,1097.3140725951432,99.75794652299948,245.27997444346317,116.16445329296324,0.1945934232353461,0.04719431808008931,0.10083712690695974,6,C0002184_SEG_UNCOMP,0.61469,0.91683,1.46848,0.2734352735764386
0.136,1.96,77.56967647077666,196.3563377632124,441.100520270409,38.90518500163924,78.09831953415673,48.47200987537993,0.11916749493200447,0.04945443227467757,0.08922500382693961,1,C0002156_SEG_UNCOMP,0.69285,0.94882,1.35833,0.2025474584892956
0.0862,1.788,44.89330511251833,51.64323572852411,177.86460288011105,24.221471353904803,33.97231662062316,24.616458087023048,0.313494985843824,0.03925923642382821,0.07077389849583712,2,C0002156_SEG_UNCOMP,0.74568,0.9212,1.33312,0.38853690922096257
