ROI Number,Scan,BV/TV,SMI,Mean Tb N,Mean Tb Sp,Std Tb Sp,Min Tb Sp,Max Tb Sp,Mean Tb Th,Std Tb Th,Min Tb Th,Max Tb Th,Coefficient of Variation
3,350208_C0000141_SEG_UNCOMP,0.02598670557309419,1.7951983380592311,0.0187377580237,49.84447911270001,19.2649310987,2.0,78.6384124756,3.5236985920899997,0.778455879553,2.0,5.65685415268,0.46249794635189817
4,350208_C0000141_SEG_UNCOMP,0.010992742777365515,2.0625255588868328,0.0103521480575,92.97088036209999,28.3829543592,2.82842707634,115.394973755,3.62742894005,0.811951374684,2.0,5.65685415268,1.1102713643569169
5,350208_C0000141_SEG_UNCOMP,0.02504024802847548,1.6218066778634328,0.0129877645028,73.3843262692,35.2725982767,2.0,110.290527344,3.61121825167,0.80502086937,2.0,6.0,0.7989927852179421
6,350208_C0000141_SEG_UNCOMP,0.012522482297156223,1.9893959291453625,0.010526299168700001,91.4938622096,33.3360910087,2.0,124.06449890100001,3.5062877934599994,0.8155625818610001,2.0,5.65685415268,0.9491763826898357
1,350302_C0000111_SEG_UNCOMP,0.21148609556391265,0.5548319919034366,0.0504135272324,14.3971415031,4.17570570714,2.0,23.065124511700002,5.43880442054,1.4406112995200002,2.0,10.1980390549,0.2651390585663056
2,350302_C0000111_SEG_UNCOMP,0.12114971008841988,1.1594766782060002,0.0415929084124,19.6899787303,10.037008395299999,2.0,46.818798065200006,4.35258136394,1.00228743332,2.0,7.2111024856600014,0.22835364137631106
3,350302_C0000111_SEG_UNCOMP,0.2603670117096608,0.1598865500774216,0.0465121533187,14.974914415899999,6.66733875086,2.0,38.0,6.524842715219999,2.21232914062,2.0,13.4164075851,0.3516974863236935
4,350302_C0000111_SEG_UNCOMP,0.1598475605921491,1.0054981981136977,0.043798807363499996,17.6048099063,6.91468133005,2.0,42.5205841064,5.2268620089199995,1.39833772012,2.0,10.770329475399999,0.38661678470641925
5,350302_C0000111_SEG_UNCOMP,0.01740098356119587,1.8702247581942668,0.00976645457655,98.61857514329999,44.277990205500004,2.0,133.79087829600002,3.7727268549699997,0.925093708694,2.0,6.0,1.1472346243201015
6,350302_C0000111_SEG_UNCOMP,0.17130252682153774,0.8344440395937955,0.0414670023795,18.2853130439,4.95897176022,2.0,30.0,5.83024734428,2.23215962072,2.0,12.8062486649,0.28100300361537756
1,350303_C0000153_SEG_UNCOMP,0.06504144289182084,1.357408384386271,0.02437180965,37.1426940128,27.6715018432,2.0,95.83319091799999,3.8883174041400004,0.9620609042030001,2.0,7.2111024856600014,0.5605733336977949
2,350303_C0000153_SEG_UNCOMP,0.18365678493717533,0.4215566700185957,0.0532846373461,14.215878995399999,6.388494272509999,2.0,31.6859588623,4.55125633301,1.19646375069,2.0,10.0,0.3205671983182053
3,350303_C0000153_SEG_UNCOMP,0.2500801816192285,-0.14736277200361256,0.056409416069,12.593449543699998,5.4182822139199995,2.0,30.5941162109,5.13408726994,1.41417628146,2.0,11.4891252518,0.2338899493360314
4,350303_C0000153_SEG_UNCOMP,0.2345799740903317,-0.037206154250711915,0.05375728399640001,13.4979056072,5.92998555305,2.0,32.3728294373,5.10422466535,1.39089384283,2.0,9.7979593277,0.25838775561759275
5,350303_C0000153_SEG_UNCOMP,0.12704227300740814,0.7207202944100135,0.0340460505229,25.2388537126,19.595809754,2.0,72.8011016846,4.13312878294,0.932033168239,2.0,6.928203105930001,0.40841555438721405
6,350303_C0000153_SEG_UNCOMP,0.31640295823009296,-0.7300771389053656,0.0664191134066,9.78725188035,4.38353522513,2.0,35.6651077271,5.268655202890001,1.3821220556,2.0,10.3923044205,0.17496381596790844
1,350304_C0000179_SEG_UNCOMP,0.15731476473769604,0.6468371141562586,0.0264202389447,32.5106826344,29.5456932156,2.0,92.4986495972,5.33908859932,2.15096308142,2.0,12.6491107941,0.6077858853210006
2,350304_C0000179_SEG_UNCOMP,0.017408844504257486,1.769502954682238,0.0111840852035,85.5512147733,24.489207046799997,2.0,119.348228455,3.8615518324,0.874911286471,2.0,6.0,0.7215412463732247
3,350304_C0000179_SEG_UNCOMP,0.142221754059391,0.6684256577894652,0.0301971632332,28.4294130143,20.615522037999998,2.0,63.3087654114,4.68628041289,1.3372663715000002,2.0,8.94427204132,0.5422775109270398
4,350304_C0000179_SEG_UNCOMP,0.08996063239714742,1.2582133321686115,0.0313138777155,27.2899669996,9.95772196046,2.0,46.6904716492,4.6447556523,1.25655042392,2.0,8.94427204132,0.47316629989459363
5,350304_C0000179_SEG_UNCOMP,0.07389915353365112,1.5194432584695567,0.0281808719245,31.114510305,14.661777461600002,2.0,61.481704711899994,4.37055214016,1.24855862495,2.0,8.4852809906,0.36747930049193184
6,350304_C0000179_SEG_UNCOMP,0.15918409699774866,0.5243006352425162,0.0246251110494,34.8644419873,27.4050612573,2.0,82.17055511470001,5.7445119375600004,2.29274967406,2.0,16.9705619812,0.7026429336404408
1,350402_C0000050_SEG_UNCOMP,0.035289345592212015,1.884782342149304,0.016733674697700002,55.1703403492,19.1466125449,2.82842707634,83.2105789185,4.58939671174,0.929141812184,2.0,6.63324975967,0.1947724822523043
2,350402_C0000050_SEG_UNCOMP,0.044863974241261775,1.7649152065907436,0.0178151202337,51.799424259,31.132761732,2.0,99.71960449219999,4.3326695402599995,1.0457955355,2.0,8.24621105194,0.5794517379035795
3,350402_C0000050_SEG_UNCOMP,0.09366942533361844,1.6493667199310738,0.036333471669699996,22.721795866,9.100413507339999,2.0,46.6904716492,4.801035122719999,1.2216659998100001,2.0,8.717798233029999,0.33842243151016504
4,350402_C0000050_SEG_UNCOMP,0.029659338171481763,1.8834836806495223,0.0163965495615,56.74459104859999,23.957539883699997,2.82842707634,91.97825622559999,4.24385022364,0.937154818167,2.0,6.63324975967,0.7065517557534616
5,350402_C0000050_SEG_UNCOMP,0.08907549020840932,1.6572412164753278,0.0376113808844,21.9810181215,7.29335567011,2.0,43.3128166199,4.60667891292,1.10852759125,2.0,8.4852809906,0.33833383231242764
6,350402_C0000050_SEG_UNCOMP,0.09872086734501363,1.488607498575081,0.033810044547200005,24.647948696700002,8.66329978609,2.0,47.244049072299994,4.9290605440099995,1.07600927221,2.0,7.483314991,0.37014471018337214
1,350404_C0000120_SEG_UNCOMP,0.3755188222420667,-1.8441026343542597,0.049659613358500006,13.003536018499998,4.72431543185,2.0,28.1424942017,7.13355189599,1.96509950088,2.0,12.8062486649,0.26455228104633777
2,350404_C0000120_SEG_UNCOMP,0.2457582351239513,-0.01582014841445395,0.0500031180376,14.560577711199999,5.6957834264,2.0,37.2021522522,5.43817515158,1.44537664417,2.0,11.4891252518,0.22527117835817403
3,350404_C0000120_SEG_UNCOMP,0.3265152753845573,-1.2873604660785114,0.046823279197500005,14.3336767928,5.39678917142,2.0,31.874753952,7.023221253239999,2.01641597217,2.0,13.4164075851,0.36409818237636793
4,350404_C0000120_SEG_UNCOMP,0.1915790433546732,0.4874309377878402,0.0455639700363,16.425950553099998,4.89791862608,2.0,33.1662483215,5.521215139480001,1.4639978263100002,2.0,11.661903381300002,0.28964379461367246
5,350404_C0000120_SEG_UNCOMP,0.2555482536128894,0.0064319181938207745,0.0469248775122,15.3981909788,6.15752134341,2.0,36.8239059448,5.912466672690001,1.48178557032,2.0,13.4164075851,0.15648593301664296
6,350404_C0000120_SEG_UNCOMP,0.15093167897166287,0.9005581796481253,0.042141419398300003,18.5936287954,5.68726611799,2.0,37.2021522522,5.13599432306,1.26325484573,2.0,10.0,0.18035293993348436
1,350405_C0000145_SEG_UNCOMP,0.035556617656306994,1.7651694329058956,0.0175463334459,52.985165819799995,25.007225990300004,2.0,88.9044418335,4.00679794775,0.865489633091,2.0,6.324555397030001,0.6293328863565455
2,350405_C0000145_SEG_UNCOMP,0.29602110505993184,-0.19477296988141848,0.0574937890569,11.628944763900002,3.7037623447199994,2.0,23.6643199921,5.764238332969999,1.4210206834099999,2.0,11.3137083054,0.12833347310736515
3,350405_C0000145_SEG_UNCOMP,0.1935332737997912,0.7255508729830921,0.049333123140900006,15.081622364600001,5.429184290759999,2.0,36.441734314,5.18873427069,1.21756720341,2.0,9.16515159607,0.23144873353337006
4,350405_C0000145_SEG_UNCOMP,0.1494978429572239,1.130394763330118,0.043470569048699996,18.0492469391,7.686626627210001,2.0,45.6070175171,4.9548227541,1.32505916551,2.0,8.717798233029999,0.36361865087127226
5,350405_C0000145_SEG_UNCOMP,0.05766001735696227,1.5096556726614816,0.0214567065208,42.3137008137,21.2584923707,2.0,75.0732955933,4.2917742172199995,1.15860466406,2.0,8.24621105194,0.33609133956880094
6,350405_C0000145_SEG_UNCOMP,0.25744116870212685,0.08759907697543945,0.054931292860500004,12.6005148904,3.72062087305,2.0,22.0907211304,5.60404480452,1.49333804164,2.0,11.4891252518,0.21037864931566846
1,350406_C0000147_SEG_UNCOMP,0.06912756109524948,1.3609591779704704,0.028442453059499998,31.026977534,14.451535290299999,2.0,58.4123268127,4.13173391426,1.1939572927200002,2.0,8.0,0.2691286085728996
2,350406_C0000147_SEG_UNCOMP,0.1567000389902776,0.9035094271174412,0.045124057730800006,17.212541165999998,5.57416819316,2.0,31.2409992218,4.9485864074,1.3647458400499999,2.0,9.16515159607,0.25332934800958257
3,350406_C0000147_SEG_UNCOMP,0.20204038638107336,0.5139133579670041,0.052003669298300005,13.9458657746,5.05835586248,2.0,34.0587730408,5.28354656292,2.32339418435,2.0,18.0,0.2262883937512147
4,350406_C0000147_SEG_UNCOMP,0.0378708792936471,1.5724257192120832,0.0156677819189,59.7104301233,28.8788077412,2.0,96.93296813959999,4.1148136272,1.04850449524,2.0,7.2111024856600014,0.5376101109038137
5,350406_C0000147_SEG_UNCOMP,0.15783673135698745,0.9454890358397858,0.040441930397,19.3195990921,8.372103349489999,2.0,42.5205841064,5.407212664509999,1.50804791196,2.0,10.1980390549,0.3644251139026547
6,350406_C0000147_SEG_UNCOMP,0.08981599104481366,1.1992887861729944,0.019564762421299998,46.1755014987,34.002884084,2.0,102.0,4.936798178919999,1.45959048479,2.0,8.4852809906,0.6594569242976653
1,350407_C0000158_SEG_UNCOMP,0.15582590212182576,0.6063689741453545,0.0403516781577,19.9179479671,7.59993417542,2.0,39.2937660217,4.86416880368,1.34836163135,2.0,10.770329475399999,0.20931939214714299
2,350407_C0000158_SEG_UNCOMP,0.16119178185568567,0.7174703423429436,0.0350030182628,22.6399032431,7.64051595278,2.0,37.629776000999996,5.929061652760001,1.8672715965400002,2.0,11.4891252518,0.3160605431200077
3,350407_C0000158_SEG_UNCOMP,0.16659853849346598,0.5970272002932454,0.036173642971900004,21.7595064112,6.36783477716,2.0,32.8633537292,5.88493074922,1.8118938429599998,2.0,10.770329475399999,0.22826029075790433
4,350407_C0000158_SEG_UNCOMP,0.1780755153634271,0.5060137125820064,0.042479887172400005,18.4479966215,6.13765491628,2.0,37.682888031,5.09255554482,1.29296625875,2.0,10.0,0.23277558270810084
5,350407_C0000158_SEG_UNCOMP,0.11643157206283725,0.9667313565619572,0.035011565398199995,23.9656933512,10.450282832100001,2.0,46.8614997864,4.59629719751,1.1579062137,2.0,8.4852809906,0.22777355561961832
6,350407_C0000158_SEG_UNCOMP,0.1604088319267486,0.4873299758300035,0.0328598381948,24.583186063600003,11.5056991946,2.0,57.2013969421,5.84910012335,1.89063491551,2.0,11.4891252518,0.25823093509516193
1,350606_C0000070_SEG_UNCOMP,0.1972546442451608,0.3240708556741442,0.0447588649075,17.2616913019,9.46229769643,2.0,48.3321838379,5.080251508,1.24723081118,2.0,10.0,0.17514917771665062
2,350606_C0000070_SEG_UNCOMP,0.23619303960657556,0.0280287059516135,0.049630119586899994,14.7167872558,6.2051816013600005,2.0,32.7414093018,5.4322675585399995,1.66094783921,2.0,13.4164075851,0.2553717076388169
3,350606_C0000070_SEG_UNCOMP,0.04299778635843385,0.9133453940717862,0.00780968130779,122.98973270799999,53.6115516849,2.0,159.022018433,5.05646541335,1.2165609881100001,2.0,7.483314991,1.3092203637297803
4,350606_C0000070_SEG_UNCOMP,0.2312092017055102,0.03513895695700225,0.044784928119400005,16.437654893,7.49800555357,2.0,36.5513343811,5.89128571247,1.8009402585099998,2.0,11.661903381300002,0.2341651672257002
5,350606_C0000070_SEG_UNCOMP,0.19544662734098886,0.18132307647655205,0.0320769315776,25.220951434299998,18.7865103381,2.0,67.2309417725,5.95410025607,2.2890762885900005,2.0,14.966629982,0.6218803387067251
6,350606_C0000070_SEG_UNCOMP,0.12196724816682808,0.7158759655091385,0.023967808626000002,36.9114515253,28.4096044723,2.0,85.8603515625,4.81117800695,1.2734403799,2.0,10.0,0.5455708846606281
1,350608_C0000085_SEG_UNCOMP,0.2403121737708629,0.31264115791144104,0.045507649157499996,16.0125736518,5.630970210499999,2.0,28.6356430054,5.96175414827,1.59911407639,2.0,12.165525436400001,0.15777911205867112
2,350608_C0000085_SEG_UNCOMP,0.2851698592576754,0.15180966527238826,0.0510110361522,13.2288675854,3.6357081294099998,2.0,23.6643199921,6.37473342782,1.50446887461,2.0,10.954451560999999,0.09362807298351601
3,350608_C0000085_SEG_UNCOMP,0.14398732187103022,1.0523956893265909,0.0368479147017,21.6619303378,7.455235470660001,2.0,40.0499687195,5.47664746488,1.41714434655,2.0,10.0,0.3149835480566929
4,350608_C0000085_SEG_UNCOMP,0.09442407586753368,1.2871341576306021,0.0287221390086,29.9001975261,15.5222421944,2.0,62.6099052429,4.91615092552,1.21371850142,2.0,8.4852809906,0.4709784650983967
5,350608_C0000085_SEG_UNCOMP,0.22050416944419987,0.32924511141101426,0.045182933414,16.4764562112,5.3297601196399995,2.0,28.4253406525,5.65579427456,1.54277033829,2.0,10.770329475399999,0.12978253747712615
