ROI Number,Scan,BV/TV,SMI,Mean Tb N,Mean Tb Sp,Std Tb Sp,Min Tb Sp,Max Tb Sp,Mean Tb Th,Std Tb Th,Min Tb Th,Max Tb Th,Coefficient of Variation,Degree of Anisotropy
2,C0001753_SEG_UNCOMP,0.28017501603632383,-0.031332840940982376,0.916740695147,0.76484794227,0.219310005559,0.121399998665,1.35729324818,0.325973055743,0.08057114781060001,0.121399998665,0.7078775167470001,0.16649960642803138,2.072
3,C0001753_SEG_UNCOMP,0.2920434678707535,-0.03889245410140883,1.0949791891399998,0.626822128832,0.18286524271899998,0.121399998665,1.35729324818,0.286437237113,0.0608080468344,0.121399998665,0.500545024872,0.10056278645698175,2.091
4,C0001753_SEG_UNCOMP,0.3955013395046977,-0.11098618943666452,1.0265027252399999,0.623286077583,0.200580112643,0.121399998665,1.31314182281,0.35089545687299994,0.08254495467230001,0.121399998665,0.6537590026860001,0.15526034701652852,2.318
5,C0001753_SEG_UNCOMP,0.20962305205830933,0.012677054123484624,0.976251489392,0.755597400942,0.199550872938,0.121399998665,1.37883889675,0.26872882120999997,0.056050057780999994,0.121399998665,0.43771392107,0.10671232513453947,1.723
6,C0001753_SEG_UNCOMP,0.3525884513313293,-0.07681497864483365,1.00306738487,0.652200740445,0.183276988926,0.121399998665,1.11925268173,0.34474125475999995,0.09262357739509999,0.121399998665,0.767801046371,0.17149134320170317,2.09
1,C0001758_SEG_UNCOMP,0.1000540832882639,0.061812175013561774,0.476609943992,1.85465676224,1.51260416475,0.121399998665,5.221611499790001,0.24349501282699998,0.053328894309300004,0.121399998665,0.43771392107,0.4544120325587676,2.336
2,C0001758_SEG_UNCOMP,0.12630177217100386,0.05488715210477897,0.635282441335,1.3185940320899998,0.930762842869,0.121399998665,4.283545017240001,0.255508973025,0.0580280372733,0.121399998665,0.500545024872,0.40775393710286756,2.046
3,C0001758_SEG_UNCOMP,0.20358113122115026,0.011231124153009687,0.9128415758990001,0.8231902506300001,0.234531054541,0.121399998665,1.58286225796,0.272290089444,0.0673127818326,0.121399998665,0.630812883377,0.13762609190661818,1.97
4,C0001758_SEG_UNCOMP,0.07633919025997711,0.08274399873391262,0.506675611721,1.7254608739300001,1.0007191095299999,0.121399998665,4.3399438857999995,0.24818849238000001,0.061377407377199995,0.121399998665,0.43771392107,0.4407778442055157,1.852
5,C0001758_SEG_UNCOMP,0.2469389487718063,-0.0145339726133243,0.904040961289,0.806367004519,0.290599145377,0.121399998665,1.8846347332,0.299777565053,0.0834682566847,0.121399998665,0.664935231209,0.2510132782298611,2.029
6,C0001758_SEG_UNCOMP,0.2011080785339656,0.02437301260353315,0.946392983521,0.7815064432790001,0.234136079648,0.121399998665,1.52113771439,0.275137062551,0.0688376962579,0.121399998665,0.48559999465899994,0.2553745259258337,2.138
1,C0001785_SEG_UNCOMP,0.2242051014376093,0.02688490551733076,0.863099086726,0.826901232438,0.250305509438,0.121399998665,1.4868402481099998,0.33171429083,0.113828192277,0.121399998665,0.9165498614309999,0.32173891922035314,1.917
2,C0001785_SEG_UNCOMP,0.21770410152565187,0.030107026205726577,0.897325433618,0.7992109102220001,0.243401129756,0.121399998665,1.65121853352,0.315211976431,0.08719793042860001,0.121399998665,0.686742067337,0.2049064553541852,1.798
3,C0001785_SEG_UNCOMP,0.14646980768988896,0.06509264575767977,0.7958369540029999,0.9769061736139999,0.35348872188,0.121399998665,2.1750597953799997,0.279632612339,0.0687650638303,0.121399998665,0.515056550503,0.31823042721715233,2.093
4,C0001785_SEG_UNCOMP,0.2822361553070799,0.0020578782352010465,0.861009093562,0.753132669462,0.20377504879099997,0.121399998665,1.4668817520100002,0.408295249799,0.18314683216400002,0.121399998665,1.09932374954,0.36206339701046136,2.112
5,C0001785_SEG_UNCOMP,0.07388343164752786,0.09238050742668094,0.5758199924,1.50355600871,0.716827926586,0.121399998665,3.5539319515199996,0.233097829639,0.054323201828500006,0.121399998665,0.383900523186,0.3929868979333727,1.779
6,C0001785_SEG_UNCOMP,0.19716817387148297,0.041533367635054066,0.9321046558660001,0.7791194358269999,0.208190903975,0.121399998665,1.37883889675,0.293721466432,0.0762236165228,0.121399998665,0.594736099243,0.22401244228759556,1.931
1,C0001792_SEG_UNCOMP,0.09535952809186617,0.07283932822039542,0.6494797536399999,1.29315665551,0.412839258483,0.121399998665,2.61503601074,0.246537221623,0.0558403992074,0.121399998665,0.40263825655,0.28299447360135177,1.85
2,C0001792_SEG_UNCOMP,0.13438124944973398,0.048024019980405855,0.631441416086,1.3177098459999999,0.8292627738799999,0.121399998665,4.276658535,0.265968345711,0.066428995127,0.121399998665,0.48559999465899994,0.30451868757238093,2.027
3,C0001792_SEG_UNCOMP,0.16988755707044673,0.02874470463310125,0.787642891384,0.99600684219,0.36047897273900004,0.121399998665,2.34462332726,0.273604057545,0.0774750186427,0.121399998665,0.569416463375,0.2723649505870729,2.283
4,C0001792_SEG_UNCOMP,0.13382155030374687,0.047416245748471184,0.711199575016,1.1432580480299999,0.331748690433,0.121399998665,2.16487193108,0.262817032903,0.0610904951822,0.121399998665,0.43771392107,0.20461657548044598,1.993
5,C0001792_SEG_UNCOMP,0.11769875608436993,0.06566355230417216,0.698268360672,1.18266168017,0.559065143486,0.121399998665,3.24163007736,0.24945247009,0.0629951384516,0.121399998665,0.454237222672,0.3211024533132573,1.994
6,C0001792_SEG_UNCOMP,0.15141591306425844,0.04268298275672984,0.798904731003,0.986901582441,0.258615664193,0.121399998665,1.63777554035,0.264812121575,0.066635348992,0.121399998665,0.500545024872,0.16959938410722258,1.927
1,C0001808_SEG_UNCOMP,0.32584866741293234,-0.057470864412541615,1.00891314134,0.6613754851420001,0.18723888884,0.121399998665,1.46184957027,0.329790115763,0.07288834832550001,0.121399998665,0.7078775167470001,0.13565363273855752,2.005
2,C0001808_SEG_UNCOMP,0.2397933515287962,0.0015936371970284265,0.8390574170749999,0.868663449448,0.267848103854,0.121399998665,1.70393013954,0.32315010186500004,0.0687526247305,0.121399998665,0.542917311192,0.14626862528549156,1.783
3,C0001808_SEG_UNCOMP,0.41155338523652,-0.10897786854850088,1.04270186324,0.581819490704,0.17571683892099998,0.121399998665,1.20179867744,0.377227419309,0.110759106153,0.121399998665,0.883805334568,0.1678031003486068,2.142
4,C0001808_SEG_UNCOMP,0.2926440439206611,-0.022609888912005868,0.906922034824,0.745196545521,0.20103064809,0.121399998665,1.35729324818,0.35743406835999997,0.10123081858300001,0.121399998665,0.728399991989,0.11889313572200533,1.815
5,C0001808_SEG_UNCOMP,0.2624187178487429,-0.006652371117297632,0.849036450027,0.8194393253899999,0.278733939356,0.121399998665,1.7211420536000002,0.358366409533,0.12960045289,0.121399998665,0.823374867439,0.1487954987756323,1.925
6,C0001808_SEG_UNCOMP,0.404110644345781,-0.11535278114413534,0.934605605422,0.683056083776,0.217632842903,0.121399998665,1.26745319366,0.386913959415,0.0944578965216,0.121399998665,0.7483598589899999,0.13774228777196237,1.898
1,C0001821_SEG_UNCOMP,0.0754210321103802,0.08710330942143478,0.410009333606,2.1468338822999997,1.0321516505600001,0.121399998665,3.9206748008699996,0.292134985079,0.07901931450239999,0.121399998665,0.594736099243,0.5339194291880223,1.529
2,C0001821_SEG_UNCOMP,0.2306086256556027,0.017966180199562122,0.743705337378,0.981554533045,0.25959198758200003,0.121399998665,1.69525873661,0.363064027211,0.0897001846253,0.121399998665,0.7078775167470001,0.23903925920934055,1.921
