$ROINumber;$Scan;$XPos;$XRange;$YPos;$YRange;$ZPos;$ZRange;
1;C0001724_SEG_UNCOMP;283;87;138;87;355;87;
2;C0001724_SEG_UNCOMP;309;87;264;87;369;87;
3;C0001724_SEG_UNCOMP;171;87;284;87;355;87;
4;C0001724_SEG_UNCOMP;206;87;241;87;379;87;
5;C0001724_SEG_UNCOMP;161;87;271;87;376;87;
6;C0001724_SEG_UNCOMP;225;87;270;87;390;87;
1;C0001735_SEG_UNCOMP;570;87;256;87;362;87;
2;C0001735_SEG_UNCOMP;335;87;126;87;371;87;
3;C0001735_SEG_UNCOMP;564;87;333;87;369;87;
4;C0001735_SEG_UNCOMP;433;87;265;87;379;87;
5;C0001735_SEG_UNCOMP;504;87;192;87;379;87;
6;C0001735_SEG_UNCOMP;518;87;347;87;410;87;
1;C0001743_SEG_UNCOMP;471;87;356;87;357;87;
2;C0001743_SEG_UNCOMP;310;87;376;87;368;87;
3;C0001743_SEG_UNCOMP;441;87;235;87;341;87;
4;C0001743_SEG_UNCOMP;397;87;203;87;410;87;
5;C0001743_SEG_UNCOMP;335;87;354;87;402;87;
6;C0001743_SEG_UNCOMP;473;87;275;87;386;87;
1;C0001748_SEG_UNCOMP;413;87;363;87;368;87;
2;C0001748_SEG_UNCOMP;426;87;328;87;373;87;
3;C0001748_SEG_UNCOMP;403;87;333;87;352;87;
4;C0001748_SEG_UNCOMP;467;87;244;87;401;87;
5;C0001748_SEG_UNCOMP;485;87;246;87;410;87;
6;C0001748_SEG_UNCOMP;252;87;315;87;408;87;
1;C0001753_SEG_UNCOMP;598;87;282;87;375;87;
2;C0001753_SEG_UNCOMP;356;87;224;87;368;87;
3;C0001753_SEG_UNCOMP;615;87;274;87;362;87;
4;C0001753_SEG_UNCOMP;345;87;145;87;392;87;
5;C0001753_SEG_UNCOMP;549;87;245;87;386;87;
6;C0001753_SEG_UNCOMP;414;87;133;87;403;87;
1;C0001758_SEG_UNCOMP;359;87;206;87;373;87;
2;C0001758_SEG_UNCOMP;336;87;233;87;368;87;
3;C0001758_SEG_UNCOMP;402;87;430;87;359;87;
4;C0001758_SEG_UNCOMP;408;87;320;87;391;87;
5;C0001758_SEG_UNCOMP;329;87;396;87;382;87;
6;C0001758_SEG_UNCOMP;407;87;136;87;379;87;
1;C0001763_SEG_UNCOMP;258;87;237;87;351;87;
2;C0001763_SEG_UNCOMP;388;87;174;87;352;87;
3;C0001763_SEG_UNCOMP;221;87;206;87;358;87;
4;C0001763_SEG_UNCOMP;246;87;239;87;406;87;
5;C0001763_SEG_UNCOMP;260;87;193;87;387;87;
6;C0001763_SEG_UNCOMP;273;87;159;87;391;87;
1;C0001768_SEG_UNCOMP;296;87;287;87;362;87;
2;C0001768_SEG_UNCOMP;351;87;263;87;367;87;
3;C0001768_SEG_UNCOMP;434;87;291;87;370;87;
4;C0001768_SEG_UNCOMP;272;87;252;87;390;87;
5;C0001768_SEG_UNCOMP;358;87;289;87;387;87;
6;C0001768_SEG_UNCOMP;451;87;316;87;402;87;
1;C0001776_SEG_UNCOMP;258;87;184;87;351;87;
2;C0001776_SEG_UNCOMP;337;87;253;87;344;87;
3;C0001776_SEG_UNCOMP;261;87;146;87;373;87;
4;C0001776_SEG_UNCOMP;257;87;270;87;383;87;
5;C0001776_SEG_UNCOMP;383;87;226;87;379;87;
6;C0001776_SEG_UNCOMP;390;87;280;87;390;87;
1;C0001780_SEG_UNCOMP;332;87;297;87;352;87;
2;C0001780_SEG_UNCOMP;347;87;137;87;371;87;
3;C0001780_SEG_UNCOMP;233;87;290;87;352;87;
4;C0001780_SEG_UNCOMP;300;87;303;87;384;87;
5;C0001780_SEG_UNCOMP;442;87;271;87;389;87;
6;C0001780_SEG_UNCOMP;238;87;347;87;396;87;
1;C0001785_SEG_UNCOMP;277;87;226;87;355;87;
2;C0001785_SEG_UNCOMP;368;87;357;87;359;87;
3;C0001785_SEG_UNCOMP;314;87;277;87;370;87;
4;C0001785_SEG_UNCOMP;269;87;288;87;389;87;
5;C0001785_SEG_UNCOMP;397;87;176;87;381;87;
6;C0001785_SEG_UNCOMP;365;87;355;87;391;87;
1;C0001792_SEG_UNCOMP;295;87;215;87;367;87;
2;C0001792_SEG_UNCOMP;418;87;189;87;363;87;
3;C0001792_SEG_UNCOMP;451;87;221;87;371;87;
4;C0001792_SEG_UNCOMP;360;87;249;87;391;87;
5;C0001792_SEG_UNCOMP;425;87;124;87;400;87;
6;C0001792_SEG_UNCOMP;347;87;318;87;387;87;
1;C0001799_SEG_UNCOMP;325;87;220;87;347;87;
2;C0001799_SEG_UNCOMP;259;87;192;87;363;87;
3;C0001799_SEG_UNCOMP;302;87;136;87;357;87;
4;C0001799_SEG_UNCOMP;250;87;244;87;383;87;
5;C0001799_SEG_UNCOMP;293;87;127;87;402;87;
6;C0001799_SEG_UNCOMP;363;87;234;87;400;87;
1;C0001803_SEG_UNCOMP;481;87;289;87;364;87;
2;C0001803_SEG_UNCOMP;392;87;224;87;374;87;
3;C0001803_SEG_UNCOMP;239;87;166;87;367;87;
4;C0001803_SEG_UNCOMP;250;87;237;87;379;87;
5;C0001803_SEG_UNCOMP;287;87;222;87;387;87;
6;C0001803_SEG_UNCOMP;440;87;265;87;400;87;
1;C0001808_SEG_UNCOMP;588;87;298;87;350;87;
2;C0001808_SEG_UNCOMP;457;87;268;87;345;87;
3;C0001808_SEG_UNCOMP;281;87;302;87;362;87;
4;C0001808_SEG_UNCOMP;455;87;427;87;399;87;
5;C0001808_SEG_UNCOMP;410;87;373;87;376;87;
6;C0001808_SEG_UNCOMP;409;87;140;87;386;87;
1;C0001814_SEG_UNCOMP;272;87;128;87;353;87;
2;C0001814_SEG_UNCOMP;422;87;148;87;347;87;
3;C0001814_SEG_UNCOMP;245;87;242;87;375;87;
4;C0001814_SEG_UNCOMP;322;87;345;87;386;87;
5;C0001814_SEG_UNCOMP;335;87;86;87;410;87;
6;C0001814_SEG_UNCOMP;272;87;315;87;378;87;
1;C0001821_SEG_UNCOMP;466;87;264;87;367;87;
2;C0001821_SEG_UNCOMP;283;87;283;87;353;87;
3;C0001821_SEG_UNCOMP;556;87;236;87;344;87;
4;C0001821_SEG_UNCOMP;528;87;233;87;383;87;
5;C0001821_SEG_UNCOMP;347;87;115;87;381;87;
6;C0001821_SEG_UNCOMP;389;87;349;87;383;87;
1;C0001826_SEG_UNCOMP;353;87;294;87;357;87;
2;C0001826_SEG_UNCOMP;368;87;200;87;370;87;
3;C0001826_SEG_UNCOMP;480;87;219;87;344;87;
4;C0001826_SEG_UNCOMP;442;87;290;87;378;87;
5;C0001826_SEG_UNCOMP;434;87;363;87;398;87;
6;C0001826_SEG_UNCOMP;512;87;318;87;393;87;
1;C0001831_SEG_UNCOMP;270;87;140;87;342;87;
2;C0001831_SEG_UNCOMP;331;87;227;87;342;87;
3;C0001831_SEG_UNCOMP;256;87;245;87;349;87;
4;C0001831_SEG_UNCOMP;305;87;157;87;380;87;
5;C0001831_SEG_UNCOMP;324;87;262;87;384;87;
6;C0001831_SEG_UNCOMP;455;87;170;87;388;87;
1;C0001839_SEG_UNCOMP;357;87;175;87;360;87;
2;C0001839_SEG_UNCOMP;383;87;391;87;343;87;
3;C0001839_SEG_UNCOMP;489;87;193;87;375;87;
4;C0001839_SEG_UNCOMP;394;87;266;87;392;87;
5;C0001839_SEG_UNCOMP;432;87;221;87;397;87;
6;C0001839_SEG_UNCOMP;444;87;262;87;409;87;
1;C0001844_SEG_UNCOMP;348;87;304;87;374;87;
2;C0001844_SEG_UNCOMP;306;87;347;87;360;87;
3;C0001844_SEG_UNCOMP;514;87;321;87;341;87;
4;C0001844_SEG_UNCOMP;376;87;410;87;408;87;
5;C0001844_SEG_UNCOMP;333;87;155;87;405;87;
6;C0001844_SEG_UNCOMP;523;87;364;87;376;87;
1;C0001852_SEG_UNCOMP;291;87;208;87;363;87;
2;C0001852_SEG_UNCOMP;356;87;157;87;350;87;
3;C0001852_SEG_UNCOMP;261;87;229;87;360;87;
4;C0001852_SEG_UNCOMP;528;87;253;87;408;87;
5;C0001852_SEG_UNCOMP;510;87;215;87;394;87;
6;C0001852_SEG_UNCOMP;358;87;112;87;406;87;
1;C0001856_SEG_UNCOMP;420;87;255;87;374;87;
2;C0001856_SEG_UNCOMP;568;87;295;87;350;87;
3;C0001856_SEG_UNCOMP;524;87;260;87;345;87;
4;C0001856_SEG_UNCOMP;278;87;155;87;376;87;
5;C0001856_SEG_UNCOMP;450;87;332;87;385;87;
6;C0001856_SEG_UNCOMP;360;87;290;87;401;87;
1;C0001862_SEG_UNCOMP;301;87;192;87;362;87;
2;C0001862_SEG_UNCOMP;432;87;381;87;370;87;
3;C0001862_SEG_UNCOMP;299;87;251;87;374;87;
4;C0001862_SEG_UNCOMP;542;87;311;87;381;87;
5;C0001862_SEG_UNCOMP;344;87;174;87;402;87;
6;C0001862_SEG_UNCOMP;403;87;261;87;398;87;
1;C0001867_SEG_UNCOMP;196;87;310;87;357;87;
2;C0001867_SEG_UNCOMP;412;87;375;87;364;87;
3;C0001867_SEG_UNCOMP;428;87;364;87;369;87;
4;C0001867_SEG_UNCOMP;204;87;300;87;388;87;
5;C0001867_SEG_UNCOMP;319;87;390;87;401;87;
6;C0001867_SEG_UNCOMP;410;87;332;87;388;87;
1;C0001875_SEG_UNCOMP;494;87;330;87;349;87;
2;C0001875_SEG_UNCOMP;289;87;348;87;355;87;
3;C0001875_SEG_UNCOMP;407;87;155;87;369;87;
4;C0001875_SEG_UNCOMP;357;87;135;87;379;87;
5;C0001875_SEG_UNCOMP;317;87;278;87;379;87;
6;C0001875_SEG_UNCOMP;288;87;359;87;410;87;
1;C0001879_SEG_UNCOMP;450;87;175;87;369;87;
2;C0001879_SEG_UNCOMP;229;87;296;87;370;87;
3;C0001879_SEG_UNCOMP;447;87;174;87;366;87;
4;C0001879_SEG_UNCOMP;234;87;341;87;379;87;
5;C0001879_SEG_UNCOMP;234;87;185;87;394;87;
6;C0001879_SEG_UNCOMP;433;87;256;87;396;87;
1;C0001885_SEG_UNCOMP;255;87;364;87;362;87;
2;C0001885_SEG_UNCOMP;281;87;344;87;358;87;
3;C0001885_SEG_UNCOMP;379;87;120;87;346;87;
4;C0001885_SEG_UNCOMP;312;87;248;87;391;87;
5;C0001885_SEG_UNCOMP;327;87;375;87;388;87;
6;C0001885_SEG_UNCOMP;469;87;425;87;386;87;
1;C0001890_SEG_UNCOMP;252;87;274;87;373;87;
2;C0001890_SEG_UNCOMP;488;87;386;87;361;87;
3;C0001890_SEG_UNCOMP;378;87;363;87;363;87;
4;C0001890_SEG_UNCOMP;455;87;175;87;397;87;
5;C0001890_SEG_UNCOMP;520;87;244;87;395;87;
6;C0001890_SEG_UNCOMP;324;87;318;87;390;87;
1;C0001896_SEG_UNCOMP;493;87;310;87;344;87;
2;C0001896_SEG_UNCOMP;311;87;102;87;353;87;
3;C0001896_SEG_UNCOMP;393;87;135;87;344;87;
4;C0001896_SEG_UNCOMP;399;87;368;87;396;87;
5;C0001896_SEG_UNCOMP;264;87;324;87;392;87;
6;C0001896_SEG_UNCOMP;464;87;382;87;403;87;
1;C0001904_SEG_UNCOMP;216;87;276;87;354;87;
2;C0001904_SEG_UNCOMP;310;87;282;87;370;87;
3;C0001904_SEG_UNCOMP;309;87;288;87;344;87;
4;C0001904_SEG_UNCOMP;289;87;410;87;398;87;
5;C0001904_SEG_UNCOMP;184;87;268;87;380;87;
6;C0001904_SEG_UNCOMP;204;87;258;87;404;87;
1;C0001911_SEG_UNCOMP;419;87;113;87;350;87;
2;C0001911_SEG_UNCOMP;302;87;107;87;359;87;
3;C0001911_SEG_UNCOMP;303;87;96;87;358;87;
4;C0001911_SEG_UNCOMP;395;87;299;87;382;87;
5;C0001911_SEG_UNCOMP;228;87;242;87;390;87;
