$ROINumber;$Scan;$XPos;$XRange;$YPos;$YRange;$ZPos;$ZRange;
5;350903_C0000061_SEG_UNCOMP;223;87;193;87;68;87;
6;350903_C0000061_SEG_UNCOMP;261;87;195;87;62;87;
1;350908_C0000201_SEG_UNCOMP;230;87;302;87;5;87;
2;350908_C0000201_SEG_UNCOMP;172;87;312;87;27;87;
3;350908_C0000201_SEG_UNCOMP;228;87;308;87;11;87;
4;350908_C0000201_SEG_UNCOMP;110;87;238;87;50;87;
5;350908_C0000201_SEG_UNCOMP;191;87;152;87;47;87;
6;350908_C0000201_SEG_UNCOMP;98;87;178;87;46;87;
1;350910_C0000231_SEG_UNCOMP;120;87;286;87;5;87;
2;350910_C0000231_SEG_UNCOMP;84;87;227;87;37;87;
3;350910_C0000231_SEG_UNCOMP;82;87;215;87;28;87;
4;350910_C0000231_SEG_UNCOMP;84;87;167;87;48;87;
5;350910_C0000231_SEG_UNCOMP;132;87;193;87;57;87;
6;350910_C0000231_SEG_UNCOMP;94;87;177;87;58;87;
1;350912_C0000226_SEG_UNCOMP;396;87;164;87;13;87;
2;350912_C0000226_SEG_UNCOMP;145;87;158;87;5;87;
3;350912_C0000226_SEG_UNCOMP;317;87;93;87;5;87;
4;350912_C0000226_SEG_UNCOMP;138;87;146;87;78;87;
5;350912_C0000226_SEG_UNCOMP;269;87;297;87;75;87;
6;350912_C0000226_SEG_UNCOMP;241;87;307;87;78;87;
1;350913_C0000239_SEG_UNCOMP;370;87;211;87;28;87;
2;350913_C0000239_SEG_UNCOMP;101;87;217;87;26;87;
3;350913_C0000239_SEG_UNCOMP;254;87;325;87;37;87;
4;350913_C0000239_SEG_UNCOMP;260;87;346;87;66;87;
5;350913_C0000239_SEG_UNCOMP;72;87;292;87;58;87;
6;350913_C0000239_SEG_UNCOMP;293;87;188;87;55;87;
1;350914_C0000261_SEG_UNCOMP;331;87;186;87;36;87;
2;350914_C0000261_SEG_UNCOMP;196;87;414;87;20;87;
3;350914_C0000261_SEG_UNCOMP;307;87;137;87;26;87;
4;350914_C0000261_SEG_UNCOMP;210;87;388;87;80;87;
5;350914_C0000261_SEG_UNCOMP;320;87;369;87;75;87;
6;350914_C0000261_SEG_UNCOMP;310;87;305;87;54;87;
1;350915_C0000250_SEG_UNCOMP;195;87;274;87;11;87;
2;350915_C0000250_SEG_UNCOMP;285;87;141;87;13;87;
3;350915_C0000250_SEG_UNCOMP;126;87;96;87;15;87;
4;350915_C0000250_SEG_UNCOMP;296;87;210;87;76;87;
5;350915_C0000250_SEG_UNCOMP;185;87;175;87;69;87;
6;350915_C0000250_SEG_UNCOMP;240;87;218;87;51;87;
1;351002_C0000151_SEG_UNCOMP;210;87;311;87;23;87;
2;351002_C0000151_SEG_UNCOMP;303;87;245;87;11;87;
3;351002_C0000151_SEG_UNCOMP;385;87;314;87;14;87;
4;351002_C0000151_SEG_UNCOMP;306;87;273;87;77;87;
5;351002_C0000151_SEG_UNCOMP;173;87;252;87;73;87;
6;351002_C0000151_SEG_UNCOMP;396;87;259;87;68;87;
1;351302_C0000051_SEG_UNCOMP;144;87;195;87;15;87;
2;351302_C0000051_SEG_UNCOMP;461;87;146;87;15;87;
3;351302_C0000051_SEG_UNCOMP;224;87;204;87;26;87;
4;351302_C0000051_SEG_UNCOMP;394;87;44;87;41;87;
5;351302_C0000051_SEG_UNCOMP;210;87;236;87;44;87;
6;351302_C0000051_SEG_UNCOMP;420;87;240;87;44;87;
1;351303_C0000072_SEG_UNCOMP;73;87;126;87;10;87;
2;351303_C0000072_SEG_UNCOMP;375;87;264;87;14;87;
3;351303_C0000072_SEG_UNCOMP;365;87;256;87;11;87;
4;351303_C0000072_SEG_UNCOMP;83;87;184;87;78;87;
5;351303_C0000072_SEG_UNCOMP;69;87;172;87;57;87;
6;351303_C0000072_SEG_UNCOMP;380;87;222;87;47;87;
