BV/TV,ROI Number,S11,S12,S13,S21,S22,S23,S31,S32,S33,S44,S55,S66,Scan,Variation Coefficient,m1,m2,m3
0.2584,2.0,514.108608632235,211.48358734865346,214.39391555671605,211.48358734865346,776.4650225259511,279.2487394860391,214.39391555671605,279.24873948603914,1819.9890423087604,743.6322328865866,616.5348899787364,435.20184303430125,C0001552_SEG_UNCOMP,0.26252424088938675,0.7177100000000001,0.8369,1.44539
0.0783,3.0,27.435371182108245,10.570255582395204,8.66462992352713,10.570255582395204,59.24554443862531,15.93096408266126,8.66462992352713,15.930964082661259,173.52482749240113,58.10116447571351,30.75079769373202,32.61503200611033,C0001552_SEG_UNCOMP,0.4634889884601389,0.73698,0.9357700000000001,1.32725
0.2214,4.0,314.295738469368,117.82232356115422,130.39678826145823,117.82232356115418,390.4432926343179,150.01862884394262,130.39678826145825,150.01862884394265,1380.5642853357106,445.9507872045902,423.6432216975483,257.74655820802536,C0001552_SEG_UNCOMP,0.24155414078055804,0.75957,0.7965,1.44393
0.0936,5.0,39.444766945325064,14.296400058964682,15.551502789830568,14.296400058964679,65.71391440897666,24.35886850845959,15.551502789830568,24.358868508459587,224.82243414376705,72.57848669485831,48.21116525365915,39.875402712514614,C0001552_SEG_UNCOMP,0.26491316010997684,0.74932,0.90728,1.3434
0.2202,6.0,339.7910708225226,139.08122837293476,143.472147922991,139.08122837293473,546.7708645306302,190.26342657773267,143.472147922991,190.2634265777327,1348.5805034393009,547.9188403694886,406.17582630652083,331.07279628759676,C0001552_SEG_UNCOMP,0.29603843706148764,0.72837,0.8783200000000001,1.3933200000000001
0.1756,1.0,161.23087479824068,62.252114503831606,56.291274125846115,62.2521145038316,259.9227846021382,84.82385151488732,56.291274125846115,84.82385151488732,734.9084984552126,286.5728087603262,167.39580681152182,146.10409648326757,C0001560_SEG_UNCOMP,0.10632094641073866,0.67629,0.96296,1.36074
0.1627,2.0,121.38784085494665,48.080093160429946,50.82927402277514,48.08009316042995,249.48569441187095,90.80361740613645,50.829274022775145,90.80361740613645,667.65394768165,303.15217833794964,146.9114443255981,117.90936344933753,C0001560_SEG_UNCOMP,0.19309826422487483,0.67992,0.9208700000000001,1.39921
0.1428,3.0,98.11173134903191,58.15025386341924,50.44942871301658,58.15025386341925,255.37937892033935,82.28981699049906,50.44942871301659,82.28981699049906,669.6668899580336,266.15723107326517,135.5960822093468,118.91920160150929,C0001560_SEG_UNCOMP,0.2640415758082632,0.66994,0.9481700000000001,1.38189
0.2151,4.0,222.36759267244818,93.74137637976057,90.62893401953754,93.74137637976055,459.8147820095814,149.15438567983003,90.62893401953755,149.15438567983006,1027.1054449113612,442.6868556439494,258.75563666327196,207.83456804615471,C0001560_SEG_UNCOMP,0.15171403893822777,0.7257600000000001,0.9306,1.34364
0.3109,5.0,457.07642407120585,214.5951665537885,171.30725288264227,214.5951665537885,1419.958919163012,377.29087784507976,171.30725288264227,377.2908778450799,1875.5868232181367,1050.6554461147384,504.39077890757596,488.5468204556918,C0001560_SEG_UNCOMP,0.24186103749991703,0.64671,1.02685,1.32644
0.2694,6.0,348.77561985660265,147.35948711855207,131.6013050470631,147.35948711855204,1032.6215510834527,264.0570139759538,131.60130504706308,264.0570139759538,1541.3522142214977,775.6372609406484,413.8660647700714,363.94040391500334,C0001560_SEG_UNCOMP,0.17936147985745302,0.66174,0.9735,1.36477
0.1717,1.0,97.14820519594365,31.49049864895024,37.88686069195232,31.490498648950236,200.1980832639757,67.71150007919216,37.88686069195233,67.71150007919216,556.3643306024575,236.85569092359614,124.3199680687082,92.28265714516343,C0001566_SEG_UNCOMP,0.1332988144086913,0.69415,0.9352600000000001,1.37059
