BV/TV,ROI Number,S11,S12,S13,S21,S22,S23,S31,S32,S33,S44,S55,S66,Scan,Variation Coefficient,m1,m2,m3
0.0736,5.0,36.69724775256091,8.738046232787985,11.74334496647223,8.738046232787985,49.15805511312425,13.120607956147145,11.743344966472229,13.120607956147145,259.6183622802423,48.256515625448436,39.94991228636012,29.32894663839171,310201_C0000160_SEG_UNCOMP,0.5350536633526363,0.71385,0.8096800000000001,1.47648
0.124,6.0,209.09055450369104,69.55506773756353,43.70615777961786,69.55506773756355,410.7199674991455,81.87687574178582,43.70615777961787,81.87687574178584,464.19922965933824,217.26750562430334,115.93774314041198,191.6862034045937,310201_C0000160_SEG_UNCOMP,0.3895253680227587,0.7317100000000001,1.07482,1.19346
0.2062,1.0,280.931824378116,99.86349281690775,114.92288261490114,99.86349281690775,367.7537233105017,124.16009438755697,114.92288261490116,124.16009438755695,1265.7486414814375,379.02637293507917,307.1563620858892,224.22957900895443,350104_C0000094_SEG_UNCOMP,0.1807440238221159,0.71354,0.83249,1.45397
0.272,2.0,325.78627889466287,180.15102076978602,169.16353050201056,180.15102076978604,977.3063773046263,316.927586002227,169.16353050201062,316.927586002227,1949.168832986294,938.2379739913396,448.1368242795185,371.0622551245564,350104_C0000094_SEG_UNCOMP,0.1696248988316364,0.58623,0.94935,1.46442
0.2538,3.0,329.83768043033393,136.51650172199783,155.07934938508993,136.51650172199783,521.0849196732138,203.79920805181524,155.0793493850899,203.79920805181527,1889.2139537108126,589.7422855553788,442.318017999813,289.62315503928346,350104_C0000094_SEG_UNCOMP,0.10136519974660181,0.67102,0.7854300000000001,1.54355
0.1118,4.0,109.04796254001573,35.78502591367917,46.75516738728784,35.78502591367918,129.74040526956196,47.6564089738102,46.75516738728784,47.65640897381019,564.7265003684606,146.85996169537873,121.70396389742058,88.01024307745851,350104_C0000094_SEG_UNCOMP,0.36417971747348765,0.73646,0.8231200000000001,1.44042
0.0802,5.0,66.37317463426874,25.029240966697785,28.806750627001506,25.02924096669778,94.32289468003913,34.13177119863473,28.806750627001502,34.13177119863473,427.5609140885816,116.4168849324898,85.50927388260786,66.97916802934621,350104_C0000094_SEG_UNCOMP,0.5105145886454405,0.71404,0.8284299999999999,1.45754
0.1939,6.0,204.67236528418601,94.42072710163717,87.40440822943555,94.42072710163717,391.66962455673917,139.85676978321072,87.40440822943555,139.85676978321072,1254.6410804469497,451.7294872124738,241.71835496252723,217.77718324782668,350104_C0000094_SEG_UNCOMP,0.27255688327620753,0.6321899999999999,0.89751,1.4703
0.1385,1.0,192.5780217309062,53.606830194751126,69.5096388746938,53.606830194751126,189.91454372194883,73.59546152476331,69.5096388746938,73.59546152476331,663.4738078598791,201.06057221487654,178.3598716513467,122.9418453086074,350107_C0000104_SEG_UNCOMP,0.148983712157421,0.76134,0.8197399999999999,1.4189200000000002
0.1593,2.0,208.1929939095765,78.73458483312412,82.72011544265821,78.73458483312412,270.21676238716657,90.85946022758306,82.72011544265821,90.85946022758307,800.0810015569592,241.56289007178464,199.90540325043784,159.33609606421265,350107_C0000104_SEG_UNCOMP,0.16916727329662393,0.75671,0.87175,1.37155
