BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3,Variation Coefficient
0.3336,2.359,433.7014925226758,279.0036603479477,1120.1170469480874,136.8432834873724,186.5207703056624,254.08616977601292,0.33256971632541216,0.11288606029756415,0.06884028092499453,3,C0001421_SEG_UNCOMP,0.60378,0.97214,1.4240700000000002,0.09562707285033274
0.302,2.181,261.54727495986594,447.1890091059189,1105.8285154069729,139.37792790808044,264.1554857700764,179.86083906886194,0.2081522605675009,0.06953342810104997,0.1155931740119576,4,C0001421_SEG_UNCOMP,0.6328699999999999,0.98714,1.37999,0.13793321658415394
0.1864,2.09,302.91107489885115,419.7338720122342,1078.633738668921,138.69572890938014,240.96056780286258,210.58964368700325,0.21497997245212086,0.08761057914987885,0.11059956860566998,5,C0001421_SEG_UNCOMP,0.66328,0.95073,1.38599,0.26462657300663817
0.3309,2.1919999999999997,449.89022405546575,249.92161414771144,1120.3586602044847,140.73113962122477,166.37853198650777,273.13256196635285,0.3830966898911048,0.11497912022559105,0.06221441167514796,6,C0001421_SEG_UNCOMP,0.64083,0.9543799999999999,1.40479,0.1833497438365701
0.2276,1.9680000000000002,421.2825018940786,297.319224542967,1079.9055420124564,138.20174188063282,198.77952760604637,253.70189797066732,0.3083015911613625,0.11934748592089138,0.07726441617814406,1,C0001427_SEG_UNCOMP,0.68293,0.9728899999999999,1.34417,0.09844063774561064
0.2732,1.93,451.17017955476217,253.41013167129768,1064.6606010986516,142.39920043195204,164.5994800570682,291.74723631507686,0.3677187309246247,0.1337776925477407,0.06543621920546458,2,C0001427_SEG_UNCOMP,0.69177,0.9729200000000001,1.3353,0.09350892197247729
0.3035,2.128,309.4277493944032,395.32730534119764,1088.3095391742124,141.9304645304623,259.76093043658034,190.9193130498998,0.2378520080926382,0.08522742102781042,0.10602455805916354,3,C0001427_SEG_UNCOMP,0.6187600000000001,1.06453,1.31671,0.07564679556966229
0.3036,1.74,442.67123229234323,267.91704859456644,1105.9859153154582,138.33987817182668,181.07048020229544,263.4851474051926,0.3492911609067161,0.11607109722762125,0.06877240521063634,4,C0001427_SEG_UNCOMP,0.77085,0.8881399999999999,1.341,0.17197198777080422
0.3196,1.892,259.33879414314055,487.1527140533792,962.6930788043147,144.5826801710354,313.0327115260821,163.5899732994485,0.18190108041869116,0.07555275026000834,0.1659999341084296,5,C0001427_SEG_UNCOMP,0.66091,1.08847,1.25062,0.15367736279918312
0.2528,1.895,393.90619759845686,321.2617814639405,1081.3292148929359,138.90469544498356,210.2972029702066,242.3899908087682,0.2857936792508992,0.11743417561237494,0.07908021546947971,6,C0001427_SEG_UNCOMP,0.6979,0.9799,1.3222,0.12291775864752646
